modelcond,num_sampled,rep,rf_hamming,rf_krd
s0d100p01,sub250,r01,0.765182186234818,0.615384615384615
s0d100p01,sub250,r02,0.773279352226721,0.647773279352227
s0d100p01,sub250,r03,0.870445344129555,0.720647773279352
s0d100p01,sub250,r04,0.797570850202429,0.700404858299595
s0d100p01,sub250,r05,0.732793522267207,0.748987854251012
s0d100p02,sub250,r01,0.728744939271255,0.591093117408907
s0d100p02,sub250,r02,0.692307692307692,0.57085020242915
s0d100p02,sub250,r03,0.777327935222672,0.57085020242915
s0d100p02,sub250,r04,0.748987854251012,0.663967611336032
s0d100p02,sub250,r05,0.785425101214575,0.659919028340081
s0d100p03,sub250,r01,0.753036437246964,0.663967611336032
s0d100p03,sub250,r02,0.777327935222672,0.700404858299595
s0d100p03,sub250,r03,0.781376518218624,0.688259109311741
s0d100p03,sub250,r04,0.785425101214575,0.635627530364372
s0d100p03,sub250,r05,0.809716599190283,0.647773279352227
s0d100p04,sub250,r01,0.862348178137652,0.740890688259109
s0d100p04,sub250,r02,0.809716599190283,0.684210526315789
s0d100p04,sub250,r03,0.825910931174089,0.704453441295547
s0d100p04,sub250,r04,0.809716599190283,0.708502024291498
s0d100p04,sub250,r05,0.769230769230769,0.716599190283401
s0d100p05,sub250,r01,0.88663967611336,0.777327935222672
s0d100p05,sub250,r02,0.834008097165992,0.769230769230769
s0d100p05,sub250,r03,0.866396761133603,0.761133603238866
s0d100p05,sub250,r04,0.842105263157895,0.744939271255061
s0d100p05,sub250,r05,0.882591093117409,0.740890688259109
s0d100p06,sub250,r01,0.825910931174089,0.639676113360324
s0d100p06,sub250,r02,0.801619433198381,0.688259109311741
s0d100p06,sub250,r03,0.82995951417004,0.688259109311741
s0d100p06,sub250,r04,0.842105263157895,0.672064777327935
s0d100p06,sub250,r05,0.82995951417004,0.659919028340081
s0d100p07,sub250,r01,0.809716599190283,0.680161943319838
s0d100p07,sub250,r02,0.797570850202429,0.696356275303644
s0d100p07,sub250,r03,0.789473684210526,0.65587044534413
s0d100p07,sub250,r04,0.732793522267207,0.65587044534413
s0d100p07,sub250,r05,0.809716599190283,0.704453441295547
s0d100p08,sub250,r01,0.838056680161943,0.708502024291498
s0d100p08,sub250,r02,0.838056680161943,0.761133603238866
s0d100p08,sub250,r03,0.846153846153846,0.757085020242915
s0d100p08,sub250,r04,0.817813765182186,0.736842105263158
s0d100p08,sub250,r05,0.842105263157895,0.757085020242915
s0d100p09,sub250,r01,0.761133603238866,0.631578947368421
s0d100p09,sub250,r02,0.753036437246964,0.607287449392713
s0d100p09,sub250,r03,0.793522267206478,0.688259109311741
s0d100p09,sub250,r04,0.809716599190283,0.704453441295547
s0d100p09,sub250,r05,0.777327935222672,0.623481781376518
s0d100p10,sub250,r01,0.842105263157895,0.720647773279352
s0d100p10,sub250,r02,0.781376518218624,0.696356275303644
s0d100p10,sub250,r03,0.850202429149798,0.684210526315789
s0d100p10,sub250,r04,0.801619433198381,0.647773279352227
s0d100p10,sub250,r05,0.825910931174089,0.676113360323887
s100d0p01,sub250,r01,0.311740890688259,0.408906882591093
s100d0p01,sub250,r02,0.283400809716599,0.425101214574899
s100d0p01,sub250,r03,0.214574898785425,0.368421052631579
s100d0p01,sub250,r04,0.238866396761134,0.34412955465587
s100d0p01,sub250,r05,0.267206477732794,0.368421052631579
s100d0p02,sub250,r01,0.238866396761134,0.299595141700405
s100d0p02,sub250,r02,0.255060728744939,0.327935222672065
s100d0p02,sub250,r03,0.251012145748988,0.291497975708502
s100d0p02,sub250,r04,0.259109311740891,0.303643724696356
s100d0p02,sub250,r05,0.186234817813765,0.283400809716599
s100d0p03,sub250,r01,0.283400809716599,0.40080971659919
s100d0p03,sub250,r02,0.255060728744939,0.360323886639676
s100d0p03,sub250,r03,0.267206477732794,0.392712550607287
s100d0p03,sub250,r04,0.319838056680162,0.388663967611336
s100d0p03,sub250,r05,0.246963562753036,0.37246963562753
s100d0p04,sub250,r01,0.267206477732794,0.364372469635628
s100d0p04,sub250,r02,0.267206477732794,0.37246963562753
s100d0p04,sub250,r03,0.238866396761134,0.352226720647773
s100d0p04,sub250,r04,0.263157894736842,0.323886639676113
s100d0p04,sub250,r05,0.259109311740891,0.348178137651822
s100d0p05,sub250,r01,0.271255060728745,0.364372469635628
s100d0p05,sub250,r02,0.255060728744939,0.368421052631579
s100d0p05,sub250,r03,0.242914979757085,0.368421052631579
s100d0p05,sub250,r04,0.251012145748988,0.368421052631579
s100d0p05,sub250,r05,0.246963562753036,0.412955465587045
s100d0p06,sub250,r01,0.263157894736842,0.380566801619433
s100d0p06,sub250,r02,0.283400809716599,0.392712550607287
s100d0p06,sub250,r03,0.267206477732794,0.356275303643725
s100d0p06,sub250,r04,0.210526315789474,0.42914979757085
s100d0p06,sub250,r05,0.255060728744939,0.348178137651822
s100d0p07,sub250,r01,0.234817813765182,0.34412955465587
s100d0p07,sub250,r02,0.242914979757085,0.34412955465587
s100d0p07,sub250,r03,0.194331983805668,0.327935222672065
s100d0p07,sub250,r04,0.271255060728745,0.412955465587045
s100d0p07,sub250,r05,0.222672064777328,0.315789473684211
s100d0p08,sub250,r01,0.291497975708502,0.408906882591093
s100d0p08,sub250,r02,0.34412955465587,0.364372469635628
s100d0p08,sub250,r03,0.336032388663968,0.392712550607287
s100d0p08,sub250,r04,0.291497975708502,0.376518218623482
s100d0p08,sub250,r05,0.327935222672065,0.384615384615385
s100d0p09,sub250,r01,0.222672064777328,0.340080971659919
s100d0p09,sub250,r02,0.246963562753036,0.327935222672065
s100d0p09,sub250,r03,0.234817813765182,0.336032388663968
s100d0p09,sub250,r04,0.198380566801619,0.259109311740891
s100d0p09,sub250,r05,0.206477732793522,0.327935222672065
s100d0p10,sub250,r01,0.279352226720648,0.356275303643725
s100d0p10,sub250,r02,0.182186234817814,0.34412955465587
s100d0p10,sub250,r03,0.327935222672065,0.441295546558704
s100d0p10,sub250,r04,0.291497975708502,0.352226720647773
s100d0p10,sub250,r05,0.242914979757085,0.336032388663968
s25d75p01,sub250,r01,0.672064777327935,0.595141700404858
s25d75p01,sub250,r02,0.704453441295547,0.635627530364372
s25d75p01,sub250,r03,0.663967611336032,0.672064777327935
s25d75p01,sub250,r04,0.704453441295547,0.62753036437247
s25d75p01,sub250,r05,0.708502024291498,0.619433198380567
s25d75p02,sub250,r01,0.615384615384615,0.62753036437247
s25d75p02,sub250,r02,0.615384615384615,0.603238866396761
s25d75p02,sub250,r03,0.680161943319838,0.635627530364372
s25d75p02,sub250,r04,0.663967611336032,0.54251012145749
s25d75p02,sub250,r05,0.635627530364372,0.510121457489879
s25d75p03,sub250,r01,0.57085020242915,0.522267206477733
s25d75p03,sub250,r02,0.635627530364372,0.59919028340081
s25d75p03,sub250,r03,0.668016194331984,0.623481781376518
s25d75p03,sub250,r04,0.668016194331984,0.530364372469636
s25d75p03,sub250,r05,0.595141700404858,0.57085020242915
s25d75p04,sub250,r01,0.668016194331984,0.611336032388664
s25d75p04,sub250,r02,0.708502024291498,0.635627530364372
s25d75p04,sub250,r03,0.684210526315789,0.562753036437247
s25d75p04,sub250,r04,0.684210526315789,0.623481781376518
s25d75p04,sub250,r05,0.639676113360324,0.59919028340081
s25d75p05,sub250,r01,0.712550607287449,0.676113360323887
s25d75p05,sub250,r02,0.684210526315789,0.663967611336032
s25d75p05,sub250,r03,0.765182186234818,0.680161943319838
s25d75p05,sub250,r04,0.785425101214575,0.700404858299595
s25d75p05,sub250,r05,0.724696356275304,0.619433198380567
s25d75p06,sub250,r01,0.651821862348178,0.615384615384615
s25d75p06,sub250,r02,0.740890688259109,0.582995951417004
s25d75p06,sub250,r03,0.688259109311741,0.607287449392713
s25d75p06,sub250,r04,0.582995951417004,0.546558704453441
s25d75p06,sub250,r05,0.603238866396761,0.578947368421053
s25d75p07,sub250,r01,0.62753036437247,0.54251012145749
s25d75p07,sub250,r02,0.732793522267207,0.647773279352227
s25d75p07,sub250,r03,0.736842105263158,0.603238866396761
s25d75p07,sub250,r04,0.680161943319838,0.603238866396761
s25d75p07,sub250,r05,0.712550607287449,0.603238866396761
s25d75p08,sub250,r01,0.688259109311741,0.595141700404858
s25d75p08,sub250,r02,0.724696356275304,0.611336032388664
s25d75p08,sub250,r03,0.684210526315789,0.510121457489879
s25d75p08,sub250,r04,0.736842105263158,0.639676113360324
s25d75p08,sub250,r05,0.651821862348178,0.591093117408907
s25d75p09,sub250,r01,0.59919028340081,0.562753036437247
s25d75p09,sub250,r02,0.62753036437247,0.643724696356275
s25d75p09,sub250,r03,0.680161943319838,0.635627530364372
s25d75p09,sub250,r04,0.672064777327935,0.607287449392713
s25d75p09,sub250,r05,0.672064777327935,0.607287449392713
s25d75p10,sub250,r01,0.744939271255061,0.643724696356275
s25d75p10,sub250,r02,0.736842105263158,0.659919028340081
s25d75p10,sub250,r03,0.765182186234818,0.680161943319838
s25d75p10,sub250,r04,0.700404858299595,0.704453441295547
s25d75p10,sub250,r05,0.781376518218624,0.631578947368421
s75d25p01,sub250,r01,0.477732793522267,0.465587044534413
s75d25p01,sub250,r02,0.493927125506073,0.591093117408907
s75d25p01,sub250,r03,0.408906882591093,0.534412955465587
s75d25p01,sub250,r04,0.48582995951417,0.526315789473684
s75d25p01,sub250,r05,0.493927125506073,0.518218623481781
s75d25p02,sub250,r01,0.311740890688259,0.376518218623482
s75d25p02,sub250,r02,0.331983805668016,0.412955465587045
s75d25p02,sub250,r03,0.291497975708502,0.412955465587045
s75d25p02,sub250,r04,0.311740890688259,0.445344129554656
s75d25p02,sub250,r05,0.348178137651822,0.336032388663968
s75d25p03,sub250,r01,0.40080971659919,0.48582995951417
s75d25p03,sub250,r02,0.376518218623482,0.433198380566802
s75d25p03,sub250,r03,0.437246963562753,0.48582995951417
s75d25p03,sub250,r04,0.408906882591093,0.489878542510121
s75d25p03,sub250,r05,0.396761133603239,0.526315789473684
s75d25p04,sub250,r01,0.392712550607287,0.437246963562753
s75d25p04,sub250,r02,0.384615384615385,0.469635627530364
s75d25p04,sub250,r03,0.319838056680162,0.384615384615385
s75d25p04,sub250,r04,0.34412955465587,0.48582995951417
s75d25p04,sub250,r05,0.364372469635628,0.417004048582996
s75d25p05,sub250,r01,0.469635627530364,0.506072874493927
s75d25p05,sub250,r02,0.396761133603239,0.433198380566802
s75d25p05,sub250,r03,0.404858299595142,0.51417004048583
s75d25p05,sub250,r04,0.42914979757085,0.558704453441296
s75d25p05,sub250,r05,0.388663967611336,0.530364372469636
s75d25p06,sub250,r01,0.481781376518219,0.489878542510121
s75d25p06,sub250,r02,0.441295546558704,0.534412955465587
s75d25p06,sub250,r03,0.461538461538462,0.59919028340081
s75d25p06,sub250,r04,0.40080971659919,0.481781376518219
s75d25p06,sub250,r05,0.445344129554656,0.526315789473684
s75d25p07,sub250,r01,0.331983805668016,0.380566801619433
s75d25p07,sub250,r02,0.368421052631579,0.37246963562753
s75d25p07,sub250,r03,0.336032388663968,0.40080971659919
s75d25p07,sub250,r04,0.327935222672065,0.425101214574899
s75d25p07,sub250,r05,0.396761133603239,0.453441295546559
s75d25p08,sub250,r01,0.356275303643725,0.425101214574899
s75d25p08,sub250,r02,0.299595141700405,0.437246963562753
s75d25p08,sub250,r03,0.348178137651822,0.42914979757085
s75d25p08,sub250,r04,0.37246963562753,0.42914979757085
s75d25p08,sub250,r05,0.336032388663968,0.417004048582996
s75d25p09,sub250,r01,0.340080971659919,0.45748987854251
s75d25p09,sub250,r02,0.380566801619433,0.453441295546559
s75d25p09,sub250,r03,0.376518218623482,0.445344129554656
s75d25p09,sub250,r04,0.376518218623482,0.388663967611336
s75d25p09,sub250,r05,0.283400809716599,0.425101214574899
s75d25p10,sub250,r01,0.421052631578947,0.473684210526316
s75d25p10,sub250,r02,0.408906882591093,0.530364372469636
s75d25p10,sub250,r03,0.437246963562753,0.510121457489879
s75d25p10,sub250,r04,0.412955465587045,0.554655870445344
s75d25p10,sub250,r05,0.469635627530364,0.506072874493927
s50d50p01,sub250,r01,0.502024291497976,0.465587044534413
s50d50p01,sub250,r02,0.546558704453441,0.534412955465587
s50d50p01,sub250,r03,0.546558704453441,0.550607287449393
s50d50p01,sub250,r04,0.534412955465587,0.530364372469636
s50d50p01,sub250,r05,0.493927125506073,0.518218623481781
s50d50p02,sub250,r01,0.510121457489879,0.497975708502024
s50d50p02,sub250,r02,0.595141700404858,0.562753036437247
s50d50p02,sub250,r03,0.530364372469636,0.54251012145749
s50d50p02,sub250,r04,0.51417004048583,0.489878542510121
s50d50p02,sub250,r05,0.506072874493927,0.530364372469636
s50d50p03,sub250,r01,0.469635627530364,0.538461538461538
s50d50p03,sub250,r02,0.546558704453441,0.530364372469636
s50d50p03,sub250,r03,0.510121457489879,0.465587044534413
s50d50p03,sub250,r04,0.425101214574899,0.530364372469636
s50d50p03,sub250,r05,0.518218623481781,0.45748987854251
s50d50p04,sub250,r01,0.477732793522267,0.558704453441296
s50d50p04,sub250,r02,0.566801619433198,0.59919028340081
s50d50p04,sub250,r03,0.518218623481781,0.566801619433198
s50d50p04,sub250,r04,0.566801619433198,0.607287449392713
s50d50p04,sub250,r05,0.510121457489879,0.534412955465587
s50d50p05,sub250,r01,0.518218623481781,0.558704453441296
s50d50p05,sub250,r02,0.591093117408907,0.566801619433198
s50d50p05,sub250,r03,0.534412955465587,0.546558704453441
s50d50p05,sub250,r04,0.54251012145749,0.489878542510121
s50d50p05,sub250,r05,0.493927125506073,0.518218623481781
s50d50p06,sub250,r01,0.433198380566802,0.489878542510121
s50d50p06,sub250,r02,0.518218623481781,0.522267206477733
s50d50p06,sub250,r03,0.530364372469636,0.574898785425101
s50d50p06,sub250,r04,0.510121457489879,0.522267206477733
s50d50p06,sub250,r05,0.546558704453441,0.57085020242915
s50d50p07,sub250,r01,0.522267206477733,0.538461538461538
s50d50p07,sub250,r02,0.558704453441296,0.510121457489879
s50d50p07,sub250,r03,0.558704453441296,0.538461538461538
s50d50p07,sub250,r04,0.595141700404858,0.538461538461538
s50d50p07,sub250,r05,0.59919028340081,0.54251012145749
s50d50p08,sub250,r01,0.54251012145749,0.57085020242915
s50d50p08,sub250,r02,0.578947368421053,0.522267206477733
s50d50p08,sub250,r03,0.587044534412955,0.578947368421053
s50d50p08,sub250,r04,0.554655870445344,0.587044534412955
s50d50p08,sub250,r05,0.647773279352227,0.623481781376518
s50d50p09,sub250,r01,0.538461538461538,0.595141700404858
s50d50p09,sub250,r02,0.623481781376518,0.57085020242915
s50d50p09,sub250,r03,0.623481781376518,0.651821862348178
s50d50p09,sub250,r04,0.534412955465587,0.530364372469636
s50d50p09,sub250,r05,0.587044534412955,0.558704453441296
s50d50p10,sub250,r01,0.558704453441296,0.489878542510121
s50d50p10,sub250,r02,0.558704453441296,0.522267206477733
s50d50p10,sub250,r03,0.582995951417004,0.672064777327935
s50d50p10,sub250,r04,0.647773279352227,0.619433198380567
s50d50p10,sub250,r05,0.562753036437247,0.554655870445344
